customer_id,full_name,email,country,signup_date
1,Christopher Davila,osteele@example.com,France,2025-07-09
2,Caitlin Baxter,charles53@example.net,USA,2023-10-26
3,Lauren Morgan,ndiaz@example.net,UK,2024-05-11
4,Mary Rose,wpotter@example.org,Germany,2024-03-29
5,Michelle Reed,kimhernandez@example.org,Canada,2023-01-23
6,Maria Salazar,anna65@example.com,France,2023-08-05
7,Laura Hawkins,lleon@example.org,France,2023-03-12
8,Andrea Miller,ztaylor@example.com,Germany,2023-03-30
9,Kelly Fletcher,pattersoneric@example.com,France,2023-01-26
10,Robert Arroyo,william35@example.net,UK,2024-12-09
11,Christina Long,bradleycarter@example.org,UK,2024-09-08
12,Thomas Sweeney,pereztina@example.org,Canada,2024-09-13
13,Tara Perry,john35@example.net,France,2024-02-08
14,Brian Adams,tiffanymiller@example.org,Canada,2025-06-21
15,Julia Nelson,jordanjimenez@example.net,UK,2023-01-01
16,Richard Roberts,hkidd@example.org,France,2023-09-21
17,Theresa Phillips,msellers@example.org,UK,2024-10-11
18,Hannah Levine,amandabarber@example.net,UK,2023-12-04
19,Patricia Boyer,erica47@example.net,UK,2023-01-17
20,Jessica Calderon,suzanne64@example.net,France,2023-04-05
21,Randy West,alvarezmark@example.org,UK,2025-02-12
22,Joseph Austin,josephcraig@example.org,Germany,2025-08-09
23,Alexander Craig,catherineryan@example.com,USA,2024-04-25
24,Kimberly Franco,lewislori@example.com,UK,2025-11-14
25,Edward Escobar,christopherschultz@example.net,Canada,2024-05-23
26,April Arellano,gomezvanessa@example.org,USA,2025-04-04
27,Laura Atkinson,maysrobert@example.com,UK,2025-09-14
28,Mr. James Perez,vanganthony@example.net,Germany,2025-08-24
29,Sara Wright,proctordaniel@example.org,UK,2025-05-17
30,Mark Cook,weavermark@example.com,Germany,2024-10-11
31,Justin Stout,davidcoleman@example.com,Germany,2023-06-18
32,Matthew Calderon,martinezrebecca@example.com,UK,2024-08-31
33,Susan Finley,andrew63@example.com,UK,2023-03-22
34,Rebecca Mitchell,jeffrey66@example.org,UK,2024-06-25
35,Heidi Wong,clarkejessica@example.net,Canada,2023-02-18
36,Cynthia Hughes,tmcbride@example.net,Germany,2023-04-23
37,Matthew Luna,michael46@example.com,France,2025-11-20
38,April Griffin,deborahramsey@example.net,France,2025-04-16
39,James Gutierrez,mark47@example.net,UK,2023-02-22
40,Tiffany Carter,wharper@example.com,USA,2025-12-10
41,Jeremy Alexander,arnoldtammy@example.com,Canada,2023-04-22
42,Michael Riley,tracy70@example.net,UK,2024-07-14
43,Devin Wood,melissarussell@example.org,Germany,2023-05-23
44,Pamela Nicholson,griffinjustin@example.org,UK,2025-08-02
45,Samuel Mason,smithsarah@example.net,UK,2025-10-10
46,Sandra Johnson,millsmark@example.com,Germany,2023-05-25
